s (1,1) 33
s (2,1) 79
s (3,1) 89
s (4,1) 88
s (5,1) 84
(1,51) (2,51) 25
(2,51) (1,51) 27
(2,51) (3,51) 88
(3,51) (2,51) 43
(3,51) (4,51) 54
(4,51) (3,51) 40
(4,51) (5,51) 88
(5,51) (4,51) 74
(1,52) (2,52) 51
(2,52) (1,52) 69
(2,52) (3,52) 93
(3,52) (2,52) 46
(3,52) (4,52) 1
(4,52) (3,52) 42
(4,52) (5,52) 54
(5,52) (4,52) 47
(1,53) (2,53) 3
(2,53) (1,53) 31
(2,53) (3,53) 52
(3,53) (2,53) 21
(3,53) (4,53) 14
(4,53) (3,53) 57
(4,53) (5,53) 7
(5,53) (4,53) 84
(1,54) (2,54) 28
(2,54) (1,54) 80
(2,54) (3,54) 4
(3,54) (2,54) 63
(3,54) (4,54) 68
(4,54) (3,54) 24
(4,54) (5,54) 43
(5,54) (4,54) 65
(1,55) (2,55) 98
(2,55) (1,55) 36
(2,55) (3,55) 35
(3,55) (2,55) 77
(3,55) (4,55) 31
(4,55) (3,55) 17
(4,55) (5,55) 27
(5,55) (4,55) 56
(1,56) (2,56) 56
(2,56) (1,56) 37
(2,56) (3,56) 37
(3,56) (2,56) 98
(3,56) (4,56) 5
(4,56) (3,56) 67
(4,56) (5,56) 2
(5,56) (4,56) 17
(1,57) (2,57) 36
(2,57) (1,57) 84
(2,57) (3,57) 49
(3,57) (2,57) 71
(3,57) (4,57) 100
(4,57) (3,57) 9
(4,57) (5,57) 68
(5,57) (4,57) 48
(1,58) (2,58) 88
(2,58) (1,58) 96
(2,58) (3,58) 1
(3,58) (2,58) 87
(3,58) (4,58) 4
(4,58) (3,58) 9
(4,58) (5,58) 46
(5,58) (4,58) 69
(1,59) (2,59) 76
(2,59) (1,59) 94
(2,59) (3,59) 13
(3,59) (2,59) 80
(3,59) (4,59) 80
(4,59) (3,59) 10
(4,59) (5,59) 83
(5,59) (4,59) 71
(1,60) (2,60) 92
(2,60) (1,60) 31
(2,60) (3,60) 24
(3,60) (2,60) 19
(3,60) (4,60) 62
(4,60) (3,60) 58
(4,60) (5,60) 82
(5,60) (4,60) 97
(1,61) (2,61) 49
(2,61) (1,61) 24
(2,61) (3,61) 47
(3,61) (2,61) 43
(3,61) (4,61) 100
(4,61) (3,61) 76
(4,61) (5,61) 15
(5,61) (4,61) 30
(1,62) (2,62) 68
(2,62) (1,62) 36
(2,62) (3,62) 23
(3,62) (2,62) 94
(3,62) (4,62) 63
(4,62) (3,62) 67
(4,62) (5,62) 97
(5,62) (4,62) 1
(1,63) (2,63) 84
(2,63) (1,63) 16
(2,63) (3,63) 32
(3,63) (2,63) 42
(3,63) (4,63) 93
(4,63) (3,63) 36
(4,63) (5,63) 14
(5,63) (4,63) 57
(1,64) (2,64) 19
(2,64) (1,64) 82
(2,64) (3,64) 45
(3,64) (2,64) 37
(3,64) (4,64) 40
(4,64) (3,64) 60
(4,64) (5,64) 96
(5,64) (4,64) 62
(1,65) (2,65) 33
(2,65) (1,65) 70
(2,65) (3,65) 69
(3,65) (2,65) 37
(3,65) (4,65) 87
(4,65) (3,65) 51
(4,65) (5,65) 96
(5,65) (4,65) 90
(1,66) (2,66) 14
(2,66) (1,66) 8
(2,66) (3,66) 13
(3,66) (2,66) 4
(3,66) (4,66) 94
(4,66) (3,66) 97
(4,66) (5,66) 75
(5,66) (4,66) 49
(1,67) (2,67) 18
(2,67) (1,67) 75
(2,67) (3,67) 77
(3,67) (2,67) 76
(3,67) (4,67) 46
(4,67) (3,67) 36
(4,67) (5,67) 99
(5,67) (4,67) 48
(1,68) (2,68) 40
(2,68) (1,68) 94
(2,68) (3,68) 14
(3,68) (2,68) 59
(3,68) (4,68) 11
(4,68) (3,68) 67
(4,68) (5,68) 16
(5,68) (4,68) 77
(1,69) (2,69) 25
(2,69) (1,69) 43
(2,69) (3,69) 74
(3,69) (2,69) 32
(3,69) (4,69) 32
(4,69) (3,69) 36
(4,69) (5,69) 44
(5,69) (4,69) 48
(1,70) (2,70) 32
(2,70) (1,70) 18
(2,70) (3,70) 41
(3,70) (2,70) 44
(3,70) (4,70) 31
(4,70) (3,70) 11
(4,70) (5,70) 45
(5,70) (4,70) 15
(1,71) (2,71) 77
(2,71) (1,71) 38
(2,71) (3,71) 92
(3,71) (2,71) 62
(3,71) (4,71) 15
(4,71) (3,71) 60
(4,71) (5,71) 87
(5,71) (4,71) 43
(1,72) (2,72) 12
(2,72) (1,72) 28
(2,72) (3,72) 13
(3,72) (2,72) 31
(3,72) (4,72) 68
(4,72) (3,72) 44
(4,72) (5,72) 24
(5,72) (4,72) 41
(1,73) (2,73) 9
(2,73) (1,73) 58
(2,73) (3,73) 28
(3,73) (2,73) 53
(3,73) (4,73) 70
(4,73) (3,73) 49
(4,73) (5,73) 2
(5,73) (4,73) 73
(1,74) (2,74) 39
(2,74) (1,74) 5
(2,74) (3,74) 86
(3,74) (2,74) 23
(3,74) (4,74) 44
(4,74) (3,74) 60
(4,74) (5,74) 6
(5,74) (4,74) 33
(1,75) (2,75) 59
(2,75) (1,75) 26
(2,75) (3,75) 37
(3,75) (2,75) 19
(3,75) (4,75) 28
(4,75) (3,75) 26
(4,75) (5,75) 24
(5,75) (4,75) 54
(1,76) (2,76) 55
(2,76) (1,76) 60
(2,76) (3,76) 48
(3,76) (2,76) 51
(3,76) (4,76) 69
(4,76) (3,76) 36
(4,76) (5,76) 63
(5,76) (4,76) 82
(1,77) (2,77) 88
(2,77) (1,77) 87
(2,77) (3,77) 69
(3,77) (2,77) 24
(3,77) (4,77) 8
(4,77) (3,77) 40
(4,77) (5,77) 35
(5,77) (4,77) 32
(1,78) (2,78) 26
(2,78) (1,78) 99
(2,78) (3,78) 23
(3,78) (2,78) 61
(3,78) (4,78) 83
(4,78) (3,78) 22
(4,78) (5,78) 74
(5,78) (4,78) 58
(1,79) (2,79) 1
(2,79) (1,79) 66
(2,79) (3,79) 43
(3,79) (2,79) 85
(3,79) (4,79) 42
(4,79) (3,79) 68
(4,79) (5,79) 46
(5,79) (4,79) 78
(1,80) (2,80) 92
(2,80) (1,80) 37
(2,80) (3,80) 25
(3,80) (2,80) 84
(3,80) (4,80) 84
(4,80) (3,80) 65
(4,80) (5,80) 22
(5,80) (4,80) 56
(1,81) (2,81) 47
(2,81) (1,81) 84
(2,81) (3,81) 30
(3,81) (2,81) 53
(3,81) (4,81) 19
(4,81) (3,81) 31
(4,81) (5,81) 86
(5,81) (4,81) 81
(1,82) (2,82) 66
(2,82) (1,82) 60
(2,82) (3,82) 25
(3,82) (2,82) 10
(3,82) (4,82) 74
(4,82) (3,82) 36
(4,82) (5,82) 74
(5,82) (4,82) 3
(1,83) (2,83) 78
(2,83) (1,83) 7
(2,83) (3,83) 72
(3,83) (2,83) 46
(3,83) (4,83) 72
(4,83) (3,83) 68
(4,83) (5,83) 39
(5,83) (4,83) 66
(1,84) (2,84) 16
(2,84) (1,84) 20
(2,84) (3,84) 13
(3,84) (2,84) 5
(3,84) (4,84) 16
(4,84) (3,84) 20
(4,84) (5,84) 3
(5,84) (4,84) 83
(1,85) (2,85) 90
(2,85) (1,85) 70
(2,85) (3,85) 31
(3,85) (2,85) 60
(3,85) (4,85) 52
(4,85) (3,85) 28
(4,85) (5,85) 36
(5,85) (4,85) 32
(1,86) (2,86) 59
(2,86) (1,86) 97
(2,86) (3,86) 96
(3,86) (2,86) 54
(3,86) (4,86) 28
(4,86) (3,86) 74
(4,86) (5,86) 85
(5,86) (4,86) 58
(1,87) (2,87) 76
(2,87) (1,87) 37
(2,87) (3,87) 94
(3,87) (2,87) 7
(3,87) (4,87) 26
(4,87) (3,87) 12
(4,87) (5,87) 98
(5,87) (4,87) 26
(1,88) (2,88) 39
(2,88) (1,88) 56
(2,88) (3,88) 69
(3,88) (2,88) 48
(3,88) (4,88) 77
(4,88) (3,88) 34
(4,88) (5,88) 66
(5,88) (4,88) 80
(1,89) (2,89) 57
(2,89) (1,89) 4
(2,89) (3,89) 52
(3,89) (2,89) 76
(3,89) (4,89) 75
(4,89) (3,89) 57
(4,89) (5,89) 100
(5,89) (4,89) 42
(1,90) (2,90) 9
(2,90) (1,90) 34
(2,90) (3,90) 77
(3,90) (2,90) 96
(3,90) (4,90) 93
(4,90) (3,90) 100
(4,90) (5,90) 76
(5,90) (4,90) 81
(1,91) (2,91) 71
(2,91) (1,91) 99
(2,91) (3,91) 67
(3,91) (2,91) 95
(3,91) (4,91) 56
(4,91) (3,91) 90
(4,91) (5,91) 64
(5,91) (4,91) 22
(1,92) (2,92) 88
(2,92) (1,92) 94
(2,92) (3,92) 15
(3,92) (2,92) 51
(3,92) (4,92) 43
(4,92) (3,92) 45
(4,92) (5,92) 49
(5,92) (4,92) 54
(1,93) (2,93) 75
(2,93) (1,93) 99
(2,93) (3,93) 17
(3,93) (2,93) 34
(3,93) (4,93) 61
(4,93) (3,93) 56
(4,93) (5,93) 54
(5,93) (4,93) 86
(1,94) (2,94) 99
(2,94) (1,94) 86
(2,94) (3,94) 14
(3,94) (2,94) 69
(3,94) (4,94) 65
(4,94) (3,94) 38
(4,94) (5,94) 94
(5,94) (4,94) 100
(1,95) (2,95) 5
(2,95) (1,95) 33
(2,95) (3,95) 57
(3,95) (2,95) 100
(3,95) (4,95) 14
(4,95) (3,95) 69
(4,95) (5,95) 39
(5,95) (4,95) 67
(1,96) (2,96) 72
(2,96) (1,96) 73
(2,96) (3,96) 92
(3,96) (2,96) 27
(3,96) (4,96) 11
(4,96) (3,96) 63
(4,96) (5,96) 23
(5,96) (4,96) 78
(1,97) (2,97) 92
(2,97) (1,97) 34
(2,97) (3,97) 42
(3,97) (2,97) 94
(3,97) (4,97) 41
(4,97) (3,97) 7
(4,97) (5,97) 47
(5,97) (4,97) 9
(1,98) (2,98) 89
(2,98) (1,98) 81
(2,98) (3,98) 88
(3,98) (2,98) 89
(3,98) (4,98) 93
(4,98) (3,98) 32
(4,98) (5,98) 67
(5,98) (4,98) 13
(1,99) (2,99) 80
(2,99) (1,99) 88
(2,99) (3,99) 58
(3,99) (2,99) 52
(3,99) (4,99) 64
(4,99) (3,99) 4
(4,99) (5,99) 19
(5,99) (4,99) 48
(1,100) (2,100) 66
(2,100) (1,100) 18
(2,100) (3,100) 68
(3,100) (2,100) 52
(3,100) (4,100) 75
(4,100) (3,100) 99
(4,100) (5,100) 17
(5,100) (4,100) 14
(1,101) (2,101) 38
(2,101) (1,101) 94
(2,101) (3,101) 67
(3,101) (2,101) 47
(3,101) (4,101) 71
(4,101) (3,101) 21
(4,101) (5,101) 50
(5,101) (4,101) 49
(1,102) (2,102) 61
(2,102) (1,102) 72
(2,102) (3,102) 30
(3,102) (2,102) 16
(3,102) (4,102) 96
(4,102) (3,102) 74
(4,102) (5,102) 36
(5,102) (4,102) 14
(1,103) (2,103) 32
(2,103) (1,103) 76
(2,103) (3,103) 20
(3,103) (2,103) 40
(3,103) (4,103) 11
(4,103) (3,103) 41
(4,103) (5,103) 46
(5,103) (4,103) 1
(1,104) (2,104) 75
(2,104) (1,104) 52
(2,104) (3,104) 10
(3,104) (2,104) 29
(3,104) (4,104) 29
(4,104) (3,104) 68
(4,104) (5,104) 89
(5,104) (4,104) 100
(1,105) (2,105) 11
(2,105) (1,105) 74
(2,105) (3,105) 51
(3,105) (2,105) 43
(3,105) (4,105) 79
(4,105) (3,105) 9
(4,105) (5,105) 87
(5,105) (4,105) 56
(1,106) (2,106) 1
(2,106) (1,106) 51
(2,106) (3,106) 94
(3,106) (2,106) 85
(3,106) (4,106) 25
(4,106) (3,106) 4
(4,106) (5,106) 32
(5,106) (4,106) 14
(1,107) (2,107) 19
(2,107) (1,107) 100
(2,107) (3,107) 64
(3,107) (2,107) 24
(3,107) (4,107) 26
(4,107) (3,107) 31
(4,107) (5,107) 99
(5,107) (4,107) 71
(1,108) (2,108) 27
(2,108) (1,108) 4
(2,108) (3,108) 84
(3,108) (2,108) 12
(3,108) (4,108) 56
(4,108) (3,108) 96
(4,108) (5,108) 7
(5,108) (4,108) 68
(1,109) (2,109) 7
(2,109) (1,109) 4
(2,109) (3,109) 32
(3,109) (2,109) 40
(3,109) (4,109) 29
(4,109) (3,109) 9
(4,109) (5,109) 11
(5,109) (4,109) 57
(1,110) (2,110) 53
(2,110) (1,110) 21
(2,110) (3,110) 79
(3,110) (2,110) 30
(3,110) (4,110) 38
(4,110) (3,110) 7
(4,110) (5,110) 48
(5,110) (4,110) 30
(1,111) (2,111) 59
(2,111) (1,111) 17
(2,111) (3,111) 98
(3,111) (2,111) 63
(3,111) (4,111) 44
(4,111) (3,111) 97
(4,111) (5,111) 83
(5,111) (4,111) 4
(1,112) (2,112) 74
(2,112) (1,112) 6
(2,112) (3,112) 93
(3,112) (2,112) 3
(3,112) (4,112) 68
(4,112) (3,112) 41
(4,112) (5,112) 18
(5,112) (4,112) 4
(1,113) (2,113) 68
(2,113) (1,113) 80
(2,113) (3,113) 12
(3,113) (2,113) 83
(3,113) (4,113) 58
(4,113) (3,113) 100
(4,113) (5,113) 54
(5,113) (4,113) 93
(1,114) (2,114) 87
(2,114) (1,114) 7
(2,114) (3,114) 56
(3,114) (2,114) 5
(3,114) (4,114) 14
(4,114) (3,114) 9
(4,114) (5,114) 55
(5,114) (4,114) 84
(1,115) (2,115) 72
(2,115) (1,115) 70
(2,115) (3,115) 42
(3,115) (2,115) 59
(3,115) (4,115) 7
(4,115) (3,115) 77
(4,115) (5,115) 64
(5,115) (4,115) 11
(1,116) (2,116) 91
(2,116) (1,116) 65
(2,116) (3,116) 44
(3,116) (2,116) 15
(3,116) (4,116) 81
(4,116) (3,116) 41
(4,116) (5,116) 98
(5,116) (4,116) 78
(1,117) (2,117) 68
(2,117) (1,117) 87
(2,117) (3,117) 65
(3,117) (2,117) 56
(3,117) (4,117) 36
(4,117) (3,117) 14
(4,117) (5,117) 18
(5,117) (4,117) 35
(1,118) (2,118) 25
(2,118) (1,118) 64
(2,118) (3,118) 43
(3,118) (2,118) 2
(3,118) (4,118) 78
(4,118) (3,118) 27
(4,118) (5,118) 89
(5,118) (4,118) 46
(1,119) (2,119) 4
(2,119) (1,119) 60
(2,119) (3,119) 48
(3,119) (2,119) 66
(3,119) (4,119) 87
(4,119) (3,119) 46
(4,119) (5,119) 62
(5,119) (4,119) 33
(1,120) (2,120) 31
(2,120) (1,120) 73
(2,120) (3,120) 43
(3,120) (2,120) 64
(3,120) (4,120) 27
(4,120) (3,120) 63
(4,120) (5,120) 80
(5,120) (4,120) 1
(1,121) (2,121) 27
(2,121) (1,121) 57
(2,121) (3,121) 49
(3,121) (2,121) 6
(3,121) (4,121) 37
(4,121) (3,121) 91
(4,121) (5,121) 49
(5,121) (4,121) 79
(1,122) (2,122) 23
(2,122) (1,122) 45
(2,122) (3,122) 26
(3,122) (2,122) 71
(3,122) (4,122) 72
(4,122) (3,122) 73
(4,122) (5,122) 19
(5,122) (4,122) 23
(1,123) (2,123) 97
(2,123) (1,123) 46
(2,123) (3,123) 43
(3,123) (2,123) 5
(3,123) (4,123) 82
(4,123) (3,123) 80
(4,123) (5,123) 80
(5,123) (4,123) 76
(1,124) (2,124) 9
(2,124) (1,124) 79
(2,124) (3,124) 12
(3,124) (2,124) 13
(3,124) (4,124) 67
(4,124) (3,124) 18
(4,124) (5,124) 55
(5,124) (4,124) 38
(1,125) (2,125) 62
(2,125) (1,125) 21
(2,125) (3,125) 21
(3,125) (2,125) 55
(3,125) (4,125) 52
(4,125) (3,125) 42
(4,125) (5,125) 51
(5,125) (4,125) 73
(1,126) (2,126) 87
(2,126) (1,126) 5
(2,126) (3,126) 90
(3,126) (2,126) 90
(3,126) (4,126) 46
(4,126) (3,126) 3
(4,126) (5,126) 9
(5,126) (4,126) 4
(1,127) (2,127) 55
(2,127) (1,127) 21
(2,127) (3,127) 25
(3,127) (2,127) 44
(3,127) (4,127) 13
(4,127) (3,127) 95
(4,127) (5,127) 86
(5,127) (4,127) 71
(1,128) (2,128) 14
(2,128) (1,128) 51
(2,128) (3,128) 64
(3,128) (2,128) 3
(3,128) (4,128) 67
(4,128) (3,128) 100
(4,128) (5,128) 59
(5,128) (4,128) 11
(1,129) (2,129) 53
(2,129) (1,129) 59
(2,129) (3,129) 73
(3,129) (2,129) 65
(3,129) (4,129) 93
(4,129) (3,129) 41
(4,129) (5,129) 27
(5,129) (4,129) 57
(1,130) (2,130) 19
(2,130) (1,130) 5
(2,130) (3,130) 52
(3,130) (2,130) 17
(3,130) (4,130) 22
(4,130) (3,130) 26
(4,130) (5,130) 61
(5,130) (4,130) 24
(1,131) (2,131) 51
(2,131) (1,131) 76
(2,131) (3,131) 4
(3,131) (2,131) 42
(3,131) (4,131) 45
(4,131) (3,131) 19
(4,131) (5,131) 41
(5,131) (4,131) 34
(1,132) (2,132) 42
(2,132) (1,132) 12
(2,132) (3,132) 15
(3,132) (2,132) 86
(3,132) (4,132) 61
(4,132) (3,132) 32
(4,132) (5,132) 93
(5,132) (4,132) 58
(1,133) (2,133) 60
(2,133) (1,133) 92
(2,133) (3,133) 85
(3,133) (2,133) 1
(3,133) (4,133) 4
(4,133) (3,133) 19
(4,133) (5,133) 17
(5,133) (4,133) 16
(1,134) (2,134) 99
(2,134) (1,134) 36
(2,134) (3,134) 78
(3,134) (2,134) 13
(3,134) (4,134) 94
(4,134) (3,134) 56
(4,134) (5,134) 29
(5,134) (4,134) 79
(1,135) (2,135) 21
(2,135) (1,135) 80
(2,135) (3,135) 74
(3,135) (2,135) 60
(3,135) (4,135) 93
(4,135) (3,135) 56
(4,135) (5,135) 28
(5,135) (4,135) 57
(1,135) t 57
(2,135) t 46
(3,135) t 17
(4,135) t 42
(5,135) t 48
